,cluster,term,pval,cor_pval,duplicated
0,cluster1,D000077767,6.098716891487924e-07,0.000577809504667822,
1,cluster1,C042720,1.115226723422474e-06,0.0009875118169228425,
2,cluster1,D004785,1.2600743248537174e-05,0.00817184820956189,
3,cluster1,D020881,2.2317200152725716e-05,0.013485505000423302,
4,cluster1,D013752,3.391602989956039e-05,0.0192942688828663,
5,cluster1,D000111,4.7038724799001056e-05,0.025541250983136837,
6,cluster1,C487081,5.717571133908796e-05,0.029984688252941972,
7,cluster1,D008095,6.715198769532018e-05,0.034203686652997986,
8,cluster1,D000077704,8.739598476759765e-05,0.04336366507137968,
9,cluster1,C031071,8.739598476759765e-05,0.04336366507137968,
10,cluster1,C026486,0.00010376074745078843,0.04945821549038875,
11,cluster1,C028676,0.0001145363087294771,0.05327095288332094,
12,cluster1,D012460,0.00011576944156615897,0.05373592678340514,
13,cluster1,D008070,0.00016977258219975236,0.07238128284618146,
14,cluster1,D019301,0.00017413199189245194,0.07339667712926282,
15,cluster1,D015124,0.00017438585031906507,0.07339667712926282,
16,cluster1,D002784,0.00017874038962820845,0.07454801848216358,
17,cluster1,D003024,0.0002149042491026905,0.08634612696276948,
18,cluster1,D000077340,0.00024147591877998902,0.09438674601209333,
19,cluster1,C029216,0.00024388070377098417,0.0946837015610031,
20,cluster2,C468918,2.1656532269113893e-05,0.013120724056991438,
21,cluster2,C088969,2.1656532269113893e-05,0.013120724056991438,
22,cluster2,C058504,3.83976280297178e-05,0.021250225752744666,
23,cluster2,D002216,0.0001693392483745264,0.07233047951210637,
24,cluster3,C545476,5.699255294633512e-53,1.3121110502070003e-47,
25,cluster3,D008154,4.830310599721825e-49,5.560291289104786e-44,
26,cluster3,D009242,2.0408015997895963e-45,1.5661451610385328e-40,
27,cluster3,D007840,2.140439704682833e-43,9.855654620212105e-39,
28,cluster3,D000069439,1.0636099777689994e-42,4.081160118864465e-38,
29,cluster3,C500026,8.328250031498489e-42,2.7391019478596283e-37,
30,cluster3,D001379,7.734120118684883e-40,2.225734755405284e-35,
31,cluster3,C081766,2.3917526439816936e-37,6.11823613845206e-33,
32,cluster3,C410127,4.013551677713634e-37,9.240199350016216e-33,
33,cluster3,C009828,9.24162866544613e-37,1.93423087227485e-32,
34,cluster3,C009407,2.6341301817886243e-35,4.664943239248354e-31,
35,cluster3,C029790,4.711260948886645e-34,6.779062824733924e-30,
36,cluster3,C029497,1.1833535764179648e-33,1.6025739831225056e-29,
37,cluster3,C014024,5.289039027177992e-33,6.764827833511407e-29,
38,cluster3,D002117,9.903263980026543e-32,1.1999889209482162e-27,
39,cluster3,D003375,1.5569696492601562e-30,1.7922666875045974e-26,
40,cluster3,C005556,4.3538226303470525e-29,4.1764950627985425e-25,
41,cluster3,C059765,8.691049631936097e-29,8.003587606049951e-25,
42,cluster3,D015058,3.110203993030015e-28,2.7540258242128276e-24,
43,cluster3,D013739,1.059719206627852e-24,7.870124333738621e-21,
44,cluster3,D008748,1.9649529462960516e-24,1.4136915376906514e-20,
45,cluster3,C028474,9.381300876504471e-24,6.170885697980691e-20,
46,cluster3,C446685,2.9665405391402525e-23,1.897143876732124e-19,
47,cluster3,C030686,6.887976047445705e-23,4.173116540850493e-19,
48,cluster3,C015559,1.629541703540868e-22,9.619518940966573e-19,
49,cluster3,D019772,4.2270227572604335e-21,2.2117416233870074e-17,
50,cluster3,C006551,9.105636687467049e-21,4.6585449030491145e-17,
51,cluster3,D000077150,4.838242125858901e-20,2.320592277970553e-16,
52,cluster3,C496197,2.908926797756169e-19,1.2878993692565655e-15,
53,cluster3,D048789,5.28626632338742e-19,2.2962842722676772e-15,
54,cluster3,D011441,2.1528309057525025e-17,8.695359566260875e-14,
55,cluster3,C009237,2.3854278524938648e-17,9.468709092075863e-14,
56,cluster3,C075117,1.7767626601155564e-16,6.705822679100065e-13,
57,cluster3,C029297,1.9019385761119222e-16,7.06248078524786e-13,
58,cluster3,D003999,8.544444241912064e-16,3.0263764239910842e-12,
59,cluster3,D009151,1.3039900306878452e-15,4.54865310325923e-12,
60,cluster3,D010629,1.7868928505985407e-15,6.04981480189778e-12,
61,cluster3,C558013,9.900884585568589e-15,3.1225084297431896e-11,
62,cluster3,D053260,1.2645452198406171e-14,3.881732309837414e-11,
63,cluster3,C007836,1.630290947300002e-13,4.522093172796903e-10,
64,cluster3,C472787,5.061443624150298e-13,1.3549661143837237e-09,
65,cluster3,D010894,7.97641354349943e-13,2.0867838727865413e-09,
66,cluster3,D012822,1.8360015307601226e-12,4.749364633924149e-09,
67,cluster3,C006703,2.4175177874124755e-12,6.184144806744858e-09,
68,cluster3,C009238,3.35386127080625e-12,8.48508473704801e-09,
69,cluster3,D000077210,3.7443944911642766e-12,9.269389480949415e-09,
70,cluster3,C039281,5.610832865646485e-12,1.3742063792483637e-08,
71,cluster3,C010914,5.880473159315738e-12,1.4250862453720693e-08,
72,cluster3,D002509,7.40832389616639e-12,1.7583313082421722e-08,
73,cluster3,C584865,7.724887911852113e-12,1.8147574688838293e-08,
74,cluster3,C017096,7.050988728952591e-11,1.399408517347509e-07,
75,cluster3,C026486,7.66417906164245e-11,1.4953268003954516e-07,duplicated
76,cluster3,C000593263,9.828223239168572e-11,1.9014308363341044e-07,
77,cluster3,C547126,1.8263631691108037e-10,3.3370988937185303e-07,
78,cluster3,D016607,1.9409137131934338e-10,3.5184792096059713e-07,
