,cluster,term,pval,cor_pval,duplicated,CAS_ID
0,cluster1,D000077767,6.098716891487924e-07,0.000577809504667822,,
1,cluster1,C042720,1.1152267234224742e-06,0.0009875118169228425,,7789-47-1
2,cluster1,D004785,1.2600743248537175e-05,0.008171848209561891,,
3,cluster1,D020881,2.231720015272572e-05,0.013485505000423302,,88373-73-3
4,cluster1,D013752,3.3916029899560385e-05,0.0192942688828663,,60-54-8
5,cluster1,D000111,4.703872479900106e-05,0.02554125098313684,,616-91-1
6,cluster1,C487081,5.717571133908796e-05,0.02998468825294197,,
7,cluster1,D008095,6.715198769532018e-05,0.03420368665299798,,434-13-9
8,cluster1,D000077704,8.739598476759764e-05,0.04336366507137968,,27314-97-2
9,cluster1,C031071,8.739598476759764e-05,0.04336366507137968,,334-48-5
10,cluster1,C026486,0.00010376074745078843,0.04945821549038875,,53-70-3
11,cluster1,C028676,0.0001145363087294771,0.05327095288332094,,28322-02-3
12,cluster1,D012460,0.00011576944156615896,0.053735926783405136,,599-79-1
13,cluster1,D008070,0.00016977258219975236,0.07238128284618146,,
14,cluster1,D019301,0.00017413199189245194,0.07339667712926283,,112-80-1
15,cluster1,D015124,0.0001743858503190651,0.07339667712926283,,23583-48-4
16,cluster1,D002784,0.00017874038962820845,0.07454801848216358,,57-88-5
17,cluster1,D003024,0.00021490424910269052,0.08634612696276947,,5786-21-0
18,cluster1,D000077340,0.00024147591877998908,0.09438674601209332,,93957-54-1
19,cluster1,C029216,0.00024388070377098417,0.0946837015610031,,76180-96-6
20,cluster2,C468918,2.1656532269113893e-05,0.013120724056991438,,
21,cluster2,C088969,2.1656532269113893e-05,0.013120724056991438,,3114-70-3
22,cluster2,C058504,3.8397628029717795e-05,0.021250225752744663,,120081-14-3
23,cluster2,D002216,0.00016933924837452642,0.07233047951210637,,62571-86-2
24,cluster3,C545476,5.699255294633511e-53,1.3121110502070003e-47,,
25,cluster3,D008154,4.8303105997218244e-49,5.560291289104787e-44,,479-50-5
26,cluster3,D009242,2.0408015997895963e-45,1.5661451610385326e-40,,930-55-2
27,cluster3,D007840,2.140439704682833e-43,9.855654620212105e-39,,
28,cluster3,D000069439,1.0636099777689992e-42,4.081160118864465e-38,,302962-49-8
29,cluster3,C500026,8.328250031498489e-42,2.7391019478596287e-37,,
30,cluster3,D001379,7.734120118684883e-40,2.225734755405284e-35,,446-86-6
31,cluster3,C081766,2.391752643981693e-37,6.1182361384520596e-33,,7012-37-5
32,cluster3,C410127,4.013551677713634e-37,9.240199350016216e-33,,35065-29-3
33,cluster3,C009828,9.24162866544613e-37,1.9342308722748498e-32,,37680-73-2
34,cluster3,C009407,2.6341301817886243e-35,4.664943239248354e-31,,35693-99-3
35,cluster3,C029790,4.711260948886644e-34,6.779062824733923e-30,,35065-28-2
36,cluster3,C029497,1.1833535764179648e-33,1.6025739831225053e-29,,76543-15-2
37,cluster3,C014024,5.289039027177992e-33,6.764827833511407e-29,,35065-27-1
38,cluster3,D002117,9.90326398002654e-32,1.1999889209482162e-27,,32222-06-3
39,cluster3,D003375,1.5569696492601562e-30,1.7922666875045974e-26,,479-13-0
40,cluster3,C005556,4.3538226303470525e-29,4.176495062798543e-25,,123-38-6
41,cluster3,C059765,8.691049631936097e-29,8.00358760604995e-25,,87687-70-5
42,cluster3,D015058,3.110203993030015e-28,2.754025824212828e-24,,551-06-4
43,cluster3,D013739,1.0597192066278519e-24,7.87012433373862e-21,,58-22-0
44,cluster3,D008748,1.964952946296052e-24,1.4136915376906514e-20,,56-49-5
45,cluster3,C028474,9.381300876504472e-24,6.170885697980691e-20,,76150-91-9
46,cluster3,C446685,2.966540539140252e-23,1.8971438767321237e-19,,88671-89-0
47,cluster3,C030686,6.887976047445704e-23,4.1731165408504927e-19,,60-35-5
48,cluster3,C015559,1.629541703540868e-22,9.619518940966571e-19,,552-30-7
49,cluster3,D019772,4.227022757260433e-21,2.2117416233870074e-17,,123948-87-8
50,cluster3,C006551,9.105636687467048e-21,4.658544903049114e-17,,124-68-5
51,cluster3,D000077150,4.838242125858901e-20,2.3205922779705535e-16,,
52,cluster3,C496197,2.908926797756169e-19,1.2878993692565655e-15,,
53,cluster3,D048789,5.28626632338742e-19,2.296284272267677e-15,,
54,cluster3,D011441,2.1528309057525025e-17,8.695359566260874e-14,,51-52-5
55,cluster3,C009237,2.3854278524938648e-17,9.468709092075863e-14,,
56,cluster3,C075117,1.7767626601155564e-16,6.705822679100064e-13,,
57,cluster3,C029297,1.9019385761119222e-16,7.062480785247859e-13,,75-35-4
58,cluster3,D003999,8.544444241912064e-16,3.0263764239910842e-12,,79-43-6
59,cluster3,D009151,1.3039900306878452e-15,4.548653103259231e-12,,505-60-2
