,term
0,D000077767
1,C042720
2,D004785
3,D020881
4,D013752
5,D000111
6,C487081
7,D008095
8,D000077704
9,C031071
10,C026486
11,C028676
12,D012460
13,D008070
14,D019301
15,D015124
16,D002784
17,D003024
18,D000077340
19,C029216
20,C468918
21,C088969
22,C058504
23,D002216
24,C545476
25,D008154
26,D009242
27,D007840
28,D000069439
29,C500026
30,D001379
31,C081766
32,C410127
33,C009828
34,C009407
35,C029790
36,C029497
37,C014024
38,D002117
39,D003375
40,C005556
41,C059765
42,D015058
43,D013739
44,D008748
45,C028474
46,C446685
47,C030686
48,C015559
49,D019772
50,C006551
51,D000077150
52,C496197
53,D048789
54,D011441
55,C009237
56,C075117
57,C029297
58,D003999
59,D009151
60,D010629
61,C558013
62,D053260
63,C007836
64,C472787
65,D010894
66,D012822
67,C006703
68,C009238
69,D000077210
70,C039281
71,C010914
72,D002509
73,C584865
74,C017096
75,C000593263
76,C547126
77,D016607
78,D011794
79,D010126
80,C063002
81,D000077339
82,C004312
83,D003471
84,D011078
85,D000077185
86,D015123
87,C027576
88,D003033
89,C030973
90,D014747
91,C408982
92,D005472
93,D000077211
94,D012402
95,C058305
96,D002104
97,D008727
98,C570897
99,C578989
100,D004918
101,C000594309
102,C009495
103,D011374
104,D003300
105,D013853
106,D002945
107,D010634
108,D000952
109,C017947
110,C072581
111,C544151
112,D000077288
113,D014241
114,C014476
115,C561695
116,D017239
117,D002706
118,C547185
119,D003345
120,D009534
121,D004052
122,D008741
123,C036990
124,D014415
125,D003703
126,D005944
127,D010100
128,D003976
129,C027373
130,C016805
131,C561322
132,C035318
133,C545733
134,C005136
135,C045651
136,C410733
137,D019284
138,D009764
139,D008777
140,D011285
141,D013792
142,D002083
143,C000612263
144,D016685
145,C005223
146,D019833
147,C018406
148,D003436
149,C013698
150,D005047
151,D004958
152,D010081
153,C024015
154,C018021
155,D014051
156,D020106
157,C519728
158,D008770
159,D004041
160,D007529
161,D006247
162,D005228
163,D016604
164,C044887
165,C024629
166,D015125
167,C474722
168,C003585
169,C082164
170,C035377
171,C008661
172,C006253
173,D001374
174,D013755
175,D020122
176,D012835
177,D012701
178,D009963
179,C005273
180,C038091
181,D028321
182,D012436
183,D013311
184,D026023
185,C435770
186,C006068
187,D000077556
188,D001262
189,D005905
190,C068874
191,D003633
192,C016766
193,D005907
194,D005632
195,D010622
196,D002994
197,D005001
198,D002992
199,C023036
200,D001553
201,D009853
202,D014028
203,D000638
204,C522391
205,C043243
206,D014414
207,D004791
208,C000622638
209,C483909
210,D018817
211,C029753
212,C026487
213,D008701
214,C018475
215,D002990
216,D000431
217,C023514
218,C006780
219,D000171
220,D001280
221,C089796
222,C078765
223,D055549
224,C039175
225,C005451
226,D013749
227,C042375
228,D014635
229,D010936
230,D004317
231,D019813
232,D001564
233,D000069286
234,D000082
235,C025643
236,D005492
237,D058185
238,D012643
239,C063900
240,D005485
241,D004113
242,C016403
243,C000623013
244,D010938
245,C003747
246,D005557
247,D002737
248,D003010
249,D019422
250,D012906
251,C017435
252,D000077610
253,D009822
254,D004040
255,D016718
256,C406082
257,C118739
258,C025605
259,C019304
260,C487773
261,C099406
262,C043680
263,C538724
264,C012589
265,C015001
266,C548651
267,C061365
268,C000588695
269,D014212
270,D010662
271,D003561
272,D000079
273,C543008
274,C000611646
275,C459179
276,C572573
277,D014260
278,D004051
279,D009243
280,C016104
281,D016264
282,D001397
283,D000077239
284,C020754
285,C033273
286,D019829
287,C016151
288,D014859
289,D014634
290,C014638
291,C100187
292,C511295
293,C028904
294,C074702
295,D010433
296,D020888
297,C051786
298,C049584
299,C089595
300,C099555
301,D000643
302,D002995
303,D002235
304,C012655
305,C036423
306,C039060
307,D006540
308,D001556
309,C525131
310,C472791
311,D005947
312,C005445
313,C019499
314,D000077867
315,D000077206
316,D018038
317,D002110
318,D019256
319,D005897
320,D019328
321,C016583
322,C016392
323,C043377
324,D008825
325,D008726
326,D008767
327,C008340
328,C038541
329,D012969
330,D006830
331,D009569
332,C015586
333,D013265
334,D005839
335,C016340
336,C013418
337,D011748
338,C540596
339,C507616
340,C009505
341,C010974
342,C051752
343,D015084
344,D004237
345,D007213
346,C030370
347,D010882
348,D005419
349,D015741
350,C065250
351,D009532
352,D052638
353,D002713
354,D004997
355,D008627
356,D007854
357,C049325
358,D014580
359,D008344
360,C052034
361,D014303
362,D020111
363,C112765
364,C020711
365,C023035
366,C066198
367,D004054
368,C025256
369,C513428
370,C540355
371,D017313
372,C007488
373,D009285
374,C416282
375,C084656
376,C024714
377,D003513
378,D020849
379,C007350
380,D012834
381,D015032
382,C078041
383,D018120
384,C410337
385,D064730
386,D003993
387,D019327
388,D014050
389,D010695
390,C009618
391,D007538
392,C492448
393,C000944
394,D015759
395,C014707
396,D014266
397,D002065
398,D007657
399,D015215
400,C005948
401,D000157
402,C031280
403,D019259
404,C044755
405,D016572
406,D013750
407,D004147
408,D015647
409,C406224
410,D019344
411,D008795
412,D000077154
413,D015474
414,C561722
415,C080703
416,D011729
417,C004456
418,C477694
419,C049032
420,C014129
421,D001335
422,D009355
423,C111118
424,C066632
425,C005290
426,D013467
427,C029892
428,D011084
429,C015499
430,D002251
431,C035207
432,D010416
433,C003121
434,D005020
435,D003907
436,C018637
